age,current club,current league,foot,height,name,nationality,position,season,assists, games,goals,minutes
26,Zenit St. Petersburg,Premier Liga,right,183,Dmitri Poloz,Russia,W,2012-13,1,22,3,1057
25,Zenit St. Petersburg,Premier Liga,both,180,Emiliano Rigoni,Argentina  Italy,W,2012-13,,,,
22,Zenit St. Petersburg,Premier Liga,both,179,SebastiÄn Driussi,Argentina  Italy,CF,2012-13,,,,
26,Zenit St. Petersburg,Premier Liga,right,183,Aleksandr Kokorin,Russia,CF,2012-13,5,26,13,2287
26,Zenit St. Petersburg,Premier Liga,right,188,Anton Zabolotnyi,Russia,CF,2012-13,0,5,1,171
26,Spartak Moscow,Premier Liga,both,174,Quincy Promes,Netherlands  Suriname,W,2012-13,11,42,17,3678
23,Spartak Moscow,Premier Liga,right,175,Pedro Rocha,Brazil,W,2012-13,,,,
27,Spartak Moscow,Premier Liga,left,178,Lorenzo Melgarejo,Paraguay,W,2012-13,5,40,2,3588
21,Spartak 2 Moscow,Premier Liga,left,180,Zelimkhan Bakaev,Russia,W,2012-13,,,,
30,Spartak Moscow,Premier Liga,right,183,Luiz Adriano,Brazil,CF,2012-13,9,32,15,2455
27,Spartak Moscow,Premier Liga,left,184,ZÄ˜ LuÄßs,Cape Verde,CF,2012-13,1,35,8,1603
25,CSKA Moscow,Premier Liga,both,170,Ahmed Musa,Nigeria,CF,2012-13,7,35,15,3029
19,CSKA Moscow,Premier Liga,right,180,Fedor Chalov,Russia,CF,2012-13,,,,
20,CSKA Moscow,Premier Liga,right,181,Timur Zhamaletdinov,Russia,CF,2012-13,,,,
23,FK Krasnodar,Premier Liga,right,175,Wanderson,Brazil  Belgium,W,2012-13,1,6,0,199
29,FK Krasnodar,Premier Liga,left,166,JoÄ?ozinho,Russia  Brazil,W,2012-13,16,31,4,2740
21,FK Krasnodar,Premier Liga,right,185,Andrei Ivan,Romania,W,2012-13,,,,
30,FK Krasnodar,Premier Liga,right,174,Ricardo Laborde,Colombia,W,2012-13,9,29,7,2275
18,FK Krasnodar,Premier Liga,left,170,Magomed-Shapi Suleymanov,Russia,W,2012-13,,,,
