test_id,android_device_id,android_fingerprint,test_date,client_ip_address,download_kbps,upload_kbps,latency,server_name,server_country,server_country_code,server_latitude,server_longitude,server_sponsor_name,client_country,client_country_code,client_region_name,client_region_code,client_city,client_latitude,client_longitude,miles_between,isp_name,is_isp,network_operator_name,mcc,mnc,pre_connection_type,post_connection_type,brand,device,hardware,build_id,manufacturer,model,product,cdma_cell_id,gsm_cell_id,location_type,gmaps_formatted_address,gmaps_name,gmaps_type,gmaps_country,gmaps_country_code,gmaps_region,gmaps_subregion,gmaps_subsubregion,gmaps_postal_code
3613358245,193863068,"Verizon/lt03ltevzw/lt03ltevzw:5.1.1/LMY47X/P605VVRSDPL1:user/release-keys","2018-02-01 00:00:00","171.253.198.xxx",6273,4814,30,"Ho Chi Minh City","Vietnam","VN",10.7500,106.6667,"Viettel Networks","Vietnam","VN","Ba Ria - Vung Tau","43","Vũng Tàu","10.35597","107.07875",39.0887,"Viettel Group","1","VIETTEL","452","4",17,17,"Verizon","lt03ltevzw","qcom","LMY47X","samsung","SM-P605V","lt03ltevzw","","236806980",1,"tp. Vũng Tàu, Bà Rịa - Vũng Tàu, Vietnam","tp. Vũng Tàu","locality","Vietnam","VN","Ba Ria - Vung Tau","","",""
3613358247,194431200,"Android/osborn/osborn:7.1.1/NMF26X/1516622809:user/dev-keys","2018-02-01 00:00:00","36.23.122.xxx",60795,41462,24,"Hangzhou","China","CN",30.2500,120.1667,"China Telecom ZheJiang Branch","China","CN","Zhejiang","ZJ","Shaoxing","30.01100","120.57150",29.3216,"China Telecom Zhejiang","1","CMCC","460","0",15,15,"SMARTISAN","osborn","qcom","NMF26X","smartisan","OS105","osborn","","",2,"Shaoxing, Zhejiang, China","Shaoxing","locality","China","CN","Zhejiang","","","312000"
3613358248,181276407,"hardkernel/cm_odroidxu3/odroidxu3:6.0.1/MOB31K/9f1ced374d:userdebug/test-keys","2018-02-01 00:00:00","79.146.140.xxx",41987,34651,119,"Boston, MA","United States","US",42.3578,-71.0617,"Comcast","Spain","ES","Community of Madrid","MD","Pozuelo de Alarcón","40.43290","-3.81340",3397.54,"Telefonica de Espana","1","                ","","",0,0,"hardkernel","odroidxu3","odroidxu3","MOB31K","hardkernel","ODROID-XU3","cm_odroidxu3","","",2,"Pozuelo de Alarcón, Madrid, Spain","Pozuelo de Alarcón","locality","Spain","ES","Community of Madrid","Madrid","Área Metropolitalitana y Corredor del Henares, Pozuelo de Alarcón","28223"
3613358250,194508578,"HUAWEI/MHA-L29/HWMHA:7.0/HUAWEIMHA-L29/C432B156:user/release-keys","2018-02-01 00:00:00","193.14.221.xxx",37111,26469,13,"Zagreb","Croatia","HR",45.8167,15.9833,"Terrakom [net + tel + tv]","Croatia","HR","City of Zagreb","21","Zagreb","45.80466","15.96601",1.17831,"NetCom GSM as","1","HT HR","219","1",15,15,"HUAWEI","HWMHA","hi3660","HUAWEIMHA-L29","HUAWEI","MHA-L29","MHA-L29","","2948785",1,"Zagreb, Croatia","Zagreb","locality","Croatia","HR","City of Zagreb","","","10000"
3613358251,48266279,"Huawei/U9202L/hwU9202L:4.0.4/HuaweiU9202L/C00B888:user/ota-rel-keys,release-keys","2018-02-01 00:00:00","112.224.65.xxx",93657,43995,38,"Jinan","China","CN",36.6667,116.9833,"JINAN Wo China company","China","CN","Shandong","SD","Weifang","36.72161","119.15984",120.775,"China Unicom Shandong","1","中国联通","460","1",15,15,"Huawei","hwU9202L","huawei","HuaweiU9202L","HUAWEI","U9202L-1","U9202L","","60011791",1,"Weifang, Shandong, China","Weifang","locality","China","CN","Shandong","","","261061"
3613358254,137989626,"vivo/Y51/Y51:5.1.1/LMY47V/compiler09201133:user/release-keys","2018-02-01 00:00:00","157.48.228.xxx",10955,7093,44,"Hyderabad","India","IN",17.3850,78.4867,"ZOOMBROADBAND","India","IN","Telangana","TG","Hyderabad","17.43294","78.43979",4.53686,"Jio","1","Jio 4G","405","854",15,15,"vivo","Y51L","qcom","LMY47V","vivo","vivo Y51L","Y51L","","4411666",1,"Hyderabad, Telangana, India","Hyderabad","locality","India","IN","Telangana","","","500045"
3613358255,150889346,"samsung/serranoltexx/serranolte:4.4.2/KOT49H/I9195XXUCOB1:user/release-keys","2018-02-01 00:00:00","213.143.46.xxx",11699,4395,59,"Casas-Ibáñez, Albacete","Spain","ES",39.2867,-1.4713,"Fibratown, S.L.","Spain","ES","Castile-La Mancha","CM","Balazote","38.82789","-2.17056",49.1712,"Orange Espana","1","Orange","214","3",17,17,"samsung","serranolte","qcom","KOT49H","samsung","GT-I9195","serranoltexx","","8821036",1,"02326 Cuevas del Molino de las Dos Piedras, Albacete, Spain","Cuevas del Molino de las Dos Piedras","locality","Spain","ES","Castile-La Mancha","Albacete","Sierras de Segura y Alcaraz, San Pedro","02326"
3613358259,154354680,"OPPO/A1601/A1601:6.0/MRA58K/1487939108:user/release-keys","2018-02-01 00:00:00","188.166.245.xxx",9867,25049,296,"Amsterdam","Netherlands","NL",52.3667,4.9000,"SoftLayer Technologies, Inc.","Netherlands","NL","North Holland","NH","Amsterdam","52.35000","4.91670",1.35357,"DigitalOcean","0","GLOBE","515","2",15,15,"OPPO","A1601","mt6755","MRA58K","OPPO","A1601","A1601","","85957990",2,"Amsterdam, Netherlands","Amsterdam","locality","Netherlands","NL","North Holland","Government of Amsterdam","","1097"
3613358264,181613511,"samsung/dreamltexx/dreamlte:7.0/NRD90M/G950FXXU1AQL5:user/release-keys","2018-02-01 00:00:00","61.245.169.xxx",9696,28694,20,"Colombo","Sri Lanka","LK",6.9167,79.8333,"Sri Lanka Telecom Mobitel (Pvt) Ltd.","Sri Lanka","LK","Western Province","1","Colombo","6.91180","79.84974",1.17876,"Mobitel","1","Mobitel","413","1",15,15,"samsung","dreamlte","samsungexynos8895","NRD90M","samsung","SM-G950F","dreamltexx","","117250",1,"Colombo, Sri Lanka","Colombo","locality","Sri Lanka","LK","Western Province","Colombo","",""
3613358273,157848858,"samsung/on7xeltedd/on7xelte:7.0/NRD90M/G610FDDU1BQJ7:user/release-keys","2018-02-01 00:00:00","128.199.197.xxx",565,1113,145,"Angeles","Philippines","PH",15.1500,120.5833,"Datelcom","Singapore","SG","Central Singapore Community Development Council","01","Singapore","1.28550","103.85650",1491.3,"DigitalOcean","0","SMART Prepaid","515","3",17,17,"samsung","on7xelte","samsungexynos7870","NRD90M","samsung","SM-G610F","on7xeltedd","","78787364",2,"Singapore, Singapore","Singapore","locality","Singapore","SG","","","",""
