,favorite_count,id,retweet_count
0,39018,892420643555336193,8662
1,33407,892177421306343426,6361
2,25188,891815181378084864,4224
3,42374,891689557279858688,8770
4,40528,891327558926688256,9538
5,20331,891087950875897856,3166
6,11919,890971913173991426,2107
7,65943,890729181411237888,19194
8,27913,890609185150312448,4326
9,32117,890240255349198849,7540
10,30815,890006608113172480,7448
11,27936,889880896479866881,5040
12,48331,889665388333682689,10217
13,27344,889638837579907072,4613
14,15175,889531135344209921,2264
15,25432,889278841981685760,5528
16,29259,888917238123831296,4574
17,25743,888804989199671297,4422
18,20038,888554962724278272,3653
19,21889,888078434458587136,3559
20,30364,887705289381826560,5474
21,46477,887517139158093824,11839
22,69516,887473957103951883,18511
23,33865,887343217045368832,10555
24,30726,887101392804085760,6052
25,35384,886983233522544640,7885
26,12151,886736880519319552,3351
27,22564,886680336477933568,4539
28,21245,886366144734445568,3234
29,117,886267009285017600,4
30,28132,886258384151887873,6391
31,0,886054160059072513,105
32,32901,885984800019947520,6916
33,36202,885528943205470208,6538
34,20543,885518971528720385,3818
35,0,885311592912609280,18851
36,22067,885167619883638784,4447
37,78019,884925521741709313,18794
38,28113,884876753390489601,5937
39,24441,884562892145688576,4996
40,27155,884441805382717440,5737
41,73416,884247878851493888,20732
42,20493,884162670584377345,3039
43,22033,883838122936631299,3503
44,46235,883482846933004288,10140
45,22681,883360690899218434,3744
46,37441,883117836046086144,6778
47,24077,882992080364220416,3994
48,28492,882762694511734784,5000
49,28031,882627270321602560,6184
50,45238,882268110199369728,11799
51,29539,882045870035918850,5065
52,24434,881906580714921986,3446
53,50859,881666595344535552,10858
54,129,881633300179243008,7
55,49728,881536004380872706,16245
56,23197,881268444196462592,5236
57,17109,880935762899988482,2825
58,21428,880872448815771648,3889
59,28687,880465832366813184,6390
60,27248,880221127280381952,4304
61,27790,880095782870896641,4427
62,22428,879862464715927552,3557
63,313,879674319642796034,10
64,23538,879492040517615616,3241
65,106561,879415818425184262,44930
66,16868,879376492567855104,3170
67,0,879130579576475649,6977
68,22729,879050749262655488,4805
69,19063,879008229531029506,2739
70,19503,878776093423087618,4200
71,30457,878604707211726852,7385
72,0,878404777348136964,1315
73,0,878316110768087041,6791
74,7810,878281511006478336,1315
75,42309,878057613040115712,6977
76,80536,877736472329191424,19551
77,0,877611172832227328,81
78,22928,877556246731214848,3904
79,27528,877316821321428993,5284
80,27306,877201837425926144,5707
81,20818,876838120628539392,3433
82,23578,876537666061221889,4697
83,18897,876484053909872640,2458
84,28087,876120275196170240,4789
85,25386,875747767867523072,4385
86,22073,875144289856114688,5026
87,27602,875097192612077568,6176
88,25659,875021211251597312,4806
89,28058,874680097055178752,4743
90,0,874434818259525634,15127
91,26265,874296783580663808,4212
92,22822,874057562936811520,4041
93,34989,874012996292530176,10714
94,24469,873580283840344065,4039
95,0,873337748698140672,1625
96,7342,873213775632977920,1625
97,27629,872967104147763200,5538
98,14851,872820683541237760,3788
99,0,872668790621863937,30
100,21001,872620804844003328,3805
101,41021,872486979161796608,9223
102,34590,872261713294495745,6508
103,34817,872122724285648897,8346
104,38520,871879754684805121,11569
105,20496,871762521631449091,3578
106,20451,871515927908634625,3548
107,0,871166179821445120,5852
108,21169,871102520638267392,5642
109,22942,871032628920680449,3907
110,34092,870804317367881728,6420
111,120,870726314365509632,3
112,12611,870656317836468226,2740
113,83818,870374049280663552,27067
114,22134,870308999962521604,4283
115,37227,870063196459192321,8624
116,43060,869772420881756160,10396
117,28696,869702957897576449,6545
118,16243,869596645499047938,3242
119,20789,869227993411051520,3927
120,66775,868880397819494401,15017
121,0,868639477480148993,2175
122,27870,868622495443632128,6135
123,10369,868552278524837888,2175
124,24624,867900495410671616,4337
125,34643,867774946302451713,7610
126,16492,867421006826221569,2625
127,0,867072653475098625,131
128,32910,867051520902168576,8216
129,20556,866720684873056260,5040
130,19778,866686824827068416,3635
131,124790,866450705531457537,36764
132,53855,866334964761202691,15127
133,0,866094527597207552,8725
134,26225,865718153858494464,5856
135,27135,865359393868664832,5240
136,28686,865006731092295680,8034
137,33148,864873206498414592,9151
138,14984,864279568663928832,3195
139,30958,864197398364647424,9399
140,21167,863907417377173506,4342
141,15691,863553081350529029,4372
142,0,863471782782697472,2605
143,24432,863432100342583297,5544
144,2321,863427515083354112,102
145,8987,863079547188785154,1156
146,8794,863062471531167744,2605
147,19706,862831371563274240,5331
148,17543,862722525377298433,3718
149,21152,862457590147678208,5227
150,76838,862096992088072192,24532
151,37166,861383897657036800,11277
152,17719,861288531465048066,4390
153,17245,861005113778896900,4017
154,0,860981674716409858,2276
155,0,860924035999428608,860
156,7735,860563773140209665,2276
157,24350,860524505164394496,5566
158,18886,860276583193509888,3667
